baton milka & nussini	baton & nussini	mondelez polska	milka	100 g	słodycze i przekąski	wafle, batony	546	33	54	6.8	True
baton milka & oreo	baton & oreo	mondelez polska	milka	100 g	słodycze i przekąski	wafle, batony	548	33	56	5.6	True
baton milka & strawberry	baton & strawberry	mondelez polska	milka	100 g	słodycze i przekąski	wafle, batony	561	35	54	5.3	True
baton milka caramel	baton caramel	mondelez polska	milka	100 g	słodycze i przekąski	wafle, batony	2065	26	59	4.8	True
baton milkizz.	baton milkizz.	wawel	wawel	100 g	słodycze i przekąski	wafle, batony	585	40	48	7.7	True
baton milky way	baton milky way	mars	milky way	100 g	słodycze i przekąski	wafle, batony	1907	16.9	71.3	3.7	True
baton milky way 2pack	baton 2pack	mars	milky way	100 g	słodycze i przekąski	wafle, batony	1907	16.9	71.3	3.7	True
baton milky way crispy rolls ameo	baton crispy rolls ameo	mars	milky way	100 g	słodycze i przekąski	wafle, batony	510	24.5	64.2	7.3	True
baton mocno orzechowy	baton mocno orzechowy	wawel	wawel	100 g	słodycze i przekąski	wafle, batony	564	38	43	11	True
baton musli cherry	baton musli cherry	pacific	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	7	67.6	5.9	True
baton musli choc	baton musli choc	pacific	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	10.6	65.3	6.4	True
baton musli chocolate & banana batonik zbożowy 35 g	baton musli chocolate & banana batonik zbożowy 35 g	pacific	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	12	64.5	5.6	True
baton musli oshee-rodzynki i orzechy	baton musli oshee-rodzynki i orzechy	oshee	oshee	100 g	artykuły śniadaniowe	płatki i musli	465	21.9	55.1	10.1	True
baton musli oshee-śliwka-żurawina	baton musli oshee-śliwka-żurawina	oshee	oshee	100 g	artykuły śniadaniowe	płatki i musli	403	10.8	69.1	5.1	True
baton musli strawberry batonik zbożowy 35 g	baton musli strawberry batonik zbożowy 35 g	pacific	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	7	67.7	6	True
baton musli z orzechami i nerkowcem	baton musli z orzechami i nerkowcem	emco	"emco"	100 g	słodycze i przekąski	wafle, batony	538	33	45	13	True
baton nesquik	baton nesquik	nestle	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	12.9	60.7	7	True
baton nesquik delice	baton nesquik delice	pacific	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	11.4	63.7	5.7	True
baton nestle musli z czekoladą	baton musli z czekoladą	nestle	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	10.7	65.4	6.2	True
